
Inflammable means flammable? What a country!,Dr. Nick
Me fail English? That's unpossible.,Ralph Wiggum
Eat my shorts,Bart Simpson
I'm sleeping in the bath tub.,Marge Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
I'm sleeping in the bath tub.,Marge Simpson
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
My eyes! The goggles do nothing!,Rainier Wolfcastle
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
My eyes! The goggles do nothing!,Rainier Wolfcastle
"Oh, wow, windows. I don't think I could afford this place.",Otto
They taste like...burning.,Ralph Wiggum
Thank you. Come again.,Apu Nahasapeemapetilon
My eyes! The goggles do nothing!,Rainier Wolfcastle
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
I'm sleeping in the bath tub.,Marge Simpson
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Oh Yeah!,Duffman
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
My eyes! The goggles do nothing!,Rainier Wolfcastle
Ahh! Sweet liquor eases the pain.,Troy McClure
"Oh, wow, windows. I don't think I could afford this place.",Otto
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
I think women and seamen don't mix,Waylon Smithers
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
But my mom says I'm cool.,Milhouse Van Houten
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
My eyes! The goggles do nothing!,Rainier Wolfcastle
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
They taste like...burning.,Ralph Wiggum
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
My eyes! The goggles do nothing!,Rainier Wolfcastle
Ahh! Sweet liquor eases the pain.,Troy McClure
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
Doughnuts? I told you I don't like ethnic food,Mr. Burns
My eyes! The goggles do nothing!,Rainier Wolfcastle
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Ahh! Sweet liquor eases the pain.,Troy McClure
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
But my mom says I'm cool.,Milhouse Van Houten
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
They taste like...burning.,Ralph Wiggum
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Inflammable means flammable? What a country!,Dr. Nick
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
Thank you. Come again.,Apu Nahasapeemapetilon
Ahh! Sweet liquor eases the pain.,Troy McClure
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
"Oh, wow, windows. I don't think I could afford this place.",Otto
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Oh, wow, windows. I don't think I could afford this place.",Otto
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Inflammable means flammable? What a country!,Dr. Nick
I'm sleeping in the bath tub.,Marge Simpson
They taste like...burning.,Ralph Wiggum
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
They taste like...burning.,Ralph Wiggum
But my mom says I'm cool.,Milhouse Van Houten
Oh Yeah!,Duffman
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
Ahh! Sweet liquor eases the pain.,Troy McClure
Oh Yeah!,Duffman
Inflammable means flammable? What a country!,Dr. Nick
My eyes! The goggles do nothing!,Rainier Wolfcastle
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
Doughnuts? I told you I don't like ethnic food,Mr. Burns
But my mom says I'm cool.,Milhouse Van Houten
Thank you. Come again.,Apu Nahasapeemapetilon
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
Me fail English? That's unpossible.,Ralph Wiggum
Ahh! Sweet liquor eases the pain.,Troy McClure
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Inflammable means flammable? What a country!,Dr. Nick
Oh Yeah!,Duffman
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
I'm sleeping in the bath tub.,Marge Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
Inflammable means flammable? What a country!,Dr. Nick
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
Thank you. Come again.,Apu Nahasapeemapetilon
My eyes! The goggles do nothing!,Rainier Wolfcastle
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
Ahh! Sweet liquor eases the pain.,Troy McClure
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
